frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp
136,data/frames/game_6/frame_000136.jpg,,2ND,09,False,False,False,,2ND,09,0.00,,2025-11-13 21:45:30.755446
137,data/frames/game_6/frame_000137.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
138,data/frames/game_6/frame_000138.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
139,data/frames/game_6/frame_000139.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
140,data/frames/game_6/frame_000140.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
141,data/frames/game_6/frame_000141.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
142,data/frames/game_6/frame_000142.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
143,data/frames/game_6/frame_000143.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
144,data/frames/game_6/frame_000144.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
145,data/frames/game_6/frame_000145.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
146,data/frames/game_6/frame_000146.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
147,data/frames/game_6/frame_000147.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
148,data/frames/game_6/frame_000148.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
149,data/frames/game_6/frame_000149.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
150,data/frames/game_6/frame_000150.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
151,data/frames/game_6/frame_000151.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
152,data/frames/game_6/frame_000152.jpg,,2ND,40,False,False,False,,2ND,40,0.00,,2025-11-13 21:45:30.755446
153,data/frames/game_6/frame_000153.jpg,,2ND,39,False,False,False,,2ND,39,0.00,,2025-11-13 21:45:30.755446
154,data/frames/game_6/frame_000154.jpg,,2ND,39,False,False,False,,2ND,39,0.00,,2025-11-13 21:45:30.755446
155,data/frames/game_6/frame_000155.jpg,,2ND,38,False,False,False,,2ND,38,0.00,,2025-11-13 21:45:30.755446
156,data/frames/game_6/frame_000156.jpg,,2ND,39,False,False,False,,2ND,39,0.00,,2025-11-13 21:45:30.755446
157,data/frames/game_6/frame_000157.jpg,14:55,2ND,37,False,False,False,14:55,2ND,37,0.00,,2025-11-13 21:45:30.755446
158,data/frames/game_6/frame_000158.jpg,14:55,2ND,37,False,False,False,14:55,2ND,37,0.00,,2025-11-13 21:45:30.755446
159,data/frames/game_6/frame_000159.jpg,14:55,2ND,36,False,False,False,14:55,2ND,36,0.00,,2025-11-13 21:45:30.755446
160,data/frames/game_6/frame_000160.jpg,14:55,2ND,36,False,False,False,14:55,2ND,36,0.00,,2025-11-13 21:45:30.755446
161,data/frames/game_6/frame_000161.jpg,14:55,2ND,35,False,False,False,14:55,2ND,35,0.00,,2025-11-13 21:45:30.755446
162,data/frames/game_6/frame_000162.jpg,14:55,2ND,35,False,False,False,14:55,2ND,35,0.00,,2025-11-13 21:45:30.755446
163,data/frames/game_6/frame_000163.jpg,14:55,2ND,34,False,False,False,14:55,2ND,34,0.00,,2025-11-13 21:45:30.755446
164,data/frames/game_6/frame_000164.jpg,14:55,2ND,34,False,False,False,14:55,2ND,34,0.00,,2025-11-13 21:45:30.755446
165,data/frames/game_6/frame_000165.jpg,14:55,2ND,33,False,False,False,14:55,2ND,33,0.00,,2025-11-13 21:45:30.755446
166,data/frames/game_6/frame_000166.jpg,14:55,2ND,33,False,False,False,14:55,2ND,33,0.00,,2025-11-13 21:45:30.755446
167,data/frames/game_6/frame_000167.jpg,14:55,2ND,32,False,False,False,14:55,2ND,32,0.00,,2025-11-13 21:45:30.755446
168,data/frames/game_6/frame_000168.jpg,14:55,2ND,32,False,False,False,14:55,2ND,32,0.00,,2025-11-13 21:45:30.755446
169,data/frames/game_6/frame_000169.jpg,14:55,2ND,31,False,False,False,14:55,2ND,31,0.00,,2025-11-13 21:45:30.755446
170,data/frames/game_6/frame_000170.jpg,14:55,2ND,31,False,False,False,14:55,2ND,31,0.00,,2025-11-13 21:45:30.755446
171,data/frames/game_6/frame_000171.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
172,data/frames/game_6/frame_000172.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
173,data/frames/game_6/frame_000173.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
174,data/frames/game_6/frame_000174.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
175,data/frames/game_6/frame_000175.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
176,data/frames/game_6/frame_000176.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
177,data/frames/game_6/frame_000177.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
178,data/frames/game_6/frame_000178.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
179,data/frames/game_6/frame_000179.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
180,data/frames/game_6/frame_000180.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
181,data/frames/game_6/frame_000181.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
182,data/frames/game_6/frame_000182.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
183,data/frames/game_6/frame_000183.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
184,data/frames/game_6/frame_000184.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
185,data/frames/game_6/frame_000185.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
186,data/frames/game_6/frame_000186.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
187,data/frames/game_6/frame_000187.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
