frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp,expected_game_time,expected_period,expected_play_clock,matched_game_time,matched_period,matched_play_clock
1388,data/frames/game_6/frame_001388.jpg,11:04,2ND,19.0,False,False,False,11:04,2ND,19.0,0.0,,45:30.8,11:04,2ND,19.0,False,False,False
1389,data/frames/game_6/frame_001389.jpg,11:04,2ND,19.0,False,False,False,11:04,2ND,19.0,0.0,,45:30.8,11:04,2ND,19.0,False,False,False
1390,data/frames/game_6/frame_001390.jpg,11:04,2ND,18.0,False,False,False,11:04,2ND,18.0,0.0,,45:30.8,11:04,2ND,18.0,False,False,False
1391,data/frames/game_6/frame_001391.jpg,11:04,2ND,18.0,False,False,False,11:04,2ND,18.0,0.0,,45:30.8,11:04,2ND,18.0,False,False,False
1392,data/frames/game_6/frame_001392.jpg,11:04,2ND,17.0,False,False,False,11:04,2ND,17.0,0.0,,45:30.8,11:04,2ND,17.0,False,False,False
1393,data/frames/game_6/frame_001393.jpg,11:04,2ND,17.0,False,False,False,11:04,2ND,17.0,0.0,,45:30.8,11:04,2ND,17.0,False,False,False
1394,data/frames/game_6/frame_001394.jpg,11:04,2ND,16.0,False,False,False,11:04,2ND,16.0,0.0,,45:30.8,11:04,2ND,16.0,False,False,False
1395,data/frames/game_6/frame_001395.jpg,11:04,2ND,16.0,False,False,False,11:04,2ND,16.0,0.0,,45:30.8,11:04,2ND,16.0,False,False,False
1396,data/frames/game_6/frame_001396.jpg,11:04,2ND,15.0,False,False,False,11:04,2ND,15.0,0.0,,45:30.8,11:04,2ND,15.0,False,False,False
1397,data/frames/game_6/frame_001397.jpg,11:04,2ND,15.0,False,False,False,11:04,2ND,15.0,0.0,,45:30.8,11:04,2ND,15.0,False,False,False
1398,data/frames/game_6/frame_001398.jpg,11:04,2ND,14.0,False,False,False,11:04,2ND,14.0,0.0,,45:30.8,11:04,2ND,14.0,False,False,False
1399,data/frames/game_6/frame_001399.jpg,11:04,2ND,14.0,False,False,False,11:04,2ND,14.0,0.0,,45:30.8,11:04,2ND,14.0,False,False,False
1400,data/frames/game_6/frame_001400.jpg,11:04,2ND,13.0,False,False,False,11:04,2ND,13.0,0.0,,45:30.8,11:04,2ND,13.0,False,False,False
1401,data/frames/game_6/frame_001401.jpg,11:04,2ND,40.0,False,False,False,11:04,2ND,40.0,0.0,,45:30.8,11:04,2ND,40.0,False,False,False
1402,data/frames/game_6/frame_001402.jpg,11:04,2ND,40.0,False,False,False,11:04,2ND,40.0,0.0,,45:30.8,11:04,2ND,40.0,False,False,False
1403,data/frames/game_6/frame_001403.jpg,11:04,2ND,40.0,False,False,False,11:04,2ND,40.0,0.0,,45:30.8,11:04,2ND,40.0,False,False,False
1404,data/frames/game_6/frame_001404.jpg,11:04,2ND,40.0,False,False,False,11:04,2ND,40.0,0.0,,45:30.8,11:04,2ND,40.0,False,False,False
1405,data/frames/game_6/frame_001405.jpg,11:04,2ND,40.0,False,False,False,11:04,2ND,40.0,0.0,,45:30.8,11:04,2ND,40.0,False,False,False
